Node 13, start at 760, n: 3, c:3
Node 14, start at 940, n: 3, c:3
Node 15, start at 981, n: 7, c:7
Node 16, start at 825, n: 5, c:5
Node 17, start at 670, n: 13, c:13
Node 18, start at 285, n: 11, c:11
Node 19, start at 262, n: 11, c:11
Node 20, start at 749, n: 3, c:3
Node 0, start at 633, n: 3, c:3
Node 1, start at 41, n: 3, c:3
Node 2, start at 496, n: 3, c:3
Node 3, start at 23, n: 3, c:3
Node 4, start at 881, n: 3, c:3
Node 5, start at 42, n: 3, c:3
Node 6, start at 916, n: 3, c:3
Node 7, start at 682, n: 3, c:3
Node 8, start at 665, n: 3, c:3
Node 9, start at 131, n: 3, c:3
Node 10, start at 634, n: 3, c:3
Node 11, start at 314, n: 3, c:3
Node 12, start at 233, n: 3, c:3
Node 13, start at 760, n: 3, c:3
Node 14, start at 940, n: 3, c:3
Node 15, start at 981, n: 3, c:3
Node 16, start at 825, n: 3, c:3
Node 17, start at 670, n: 3, c:3
Node 18, start at 285, n: 3, c:3
Node 19, start at 262, n: 3, c:3
Node 20, start at 749, n: 3, c:3
Node 0, start at 698, n: 3, c:3
Node 1, start at 715, n: 7, c:7
Node 2, start at 45, n: 3, c:3
Node 3, start at 65, n: 5, c:5
Node 4, start at 205, n: 13, c:13
Node 5, start at 978, n: 11, c:11
Node 6, start at 66, n: 7, c:7
Node 7, start at 194, n: 5, c:5
Node 8, start at 125, n: 13, c:13
Node 9, start at 470, n: 7, c:7
Node 10, start at 63, n: 11, c:11
Node 11, start at 737, n: 3, c:3
Node 12, start at 749, n: 5, c:5
Node 13, start at 460, n: 13, c:13
Node 14, start at 111, n: 3, c:3
Node 15, start at 610, n: 7, c:7
Node 16, start at 531, n: 5, c:5
Node 17, start at 838, n: 3, c:3
Node 18, start at 54, n: 5, c:5
Node 19, start at 317, n: 13, c:13
Node 20, start at 340, n: 11, c:11
Node 0, start at 698, n: 13, c:13
Node 1, start at 715, n: 13, c:13
Node 2, start at 45, n: 13, c:13
Node 3, start at 65, n: 13, c:13
Node 4, start at 205, n: 13, c:13
Node 5, start at 978, n: 13, c:13
Node 6, start at 66, n: 13, c:13
Node 7, start at 194, n: 13, c:13
Node 8, start at 125, n: 13, c:13
