Node 691, start at 892, n: 53, c:11
Node 692, start at 580, n: 2, c:11
Node 693, start at 172, n: 7, c:11
Node 694, start at 799, n: 2, c:11
Node 695, start at 693, n: 53, c:11
Node 696, start at 355, n: 5, c:11
Node 697, start at 318, n: 2, c:11
Node 698, start at 174, n: 53, c:11
Node 699, start at 550, n: 2, c:11
Node 700, start at 616, n: 3, c:11
Node 701, start at 893, n: 2, c:11
Node 702, start at 801, n: 5, c:11
Node 703, start at 663, n: 2, c:11
Node 704, start at 916, n: 2, c:11
Node 705, start at 863, n: 53, c:11
Node 706, start at 316, n: 2, c:11
Node 707, start at 850, n: 2, c:11
Node 708, start at 427, n: 2, c:11
Node 709, start at 655, n: 7, c:11
Node 710, start at 555, n: 2, c:11
Node 711, start at 638, n: 2, c:11
Node 712, start at 240, n: 2, c:11
Node 713, start at 187, n: 3, c:11
Node 714, start at 253, n: 3, c:11
Node 715, start at 358, n: 2, c:11
Node 716, start at 189, n: 2, c:11
Node 717, start at 492, n: 2, c:11
Node 718, start at 528, n: 2, c:11
Node 719, start at 31, n: 2, c:11
Node 720, start at 268, n: 2, c:11
Node 721, start at 67, n: 2, c:11
Node 722, start at 376, n: 5, c:11
Node 723, start at 396, n: 2, c:11
Node 724, start at 399, n: 5, c:11
Node 725, start at 448, n: 53, c:11
Node 726, start at 830, n: 7, c:11
Node 727, start at 801, n: 5, c:11
Node 728, start at 582, n: 5, c:11
Node 729, start at 554, n: 7, c:11
Node 730, start at 720, n: 2, c:11
Node 731, start at 763, n: 5, c:11
Node 732, start at 461, n: 2, c:11
Node 733, start at 788, n: 2, c:11
Node 734, start at 890, n: 53, c:11
Node 735, start at 855, n: 2, c:11
