Node 8, start at 635, n: 11, c:11
Node 9, start at 927, n: 5, c:5
Node 10, start at 195, n: 7, c:7
Node 11, start at 960, n: 5, c:5
Node 12, start at 483, n: 11, c:11
Node 13, start at 516, n: 5, c:5
Node 14, start at 243, n: 7, c:7
Node 15, start at 621, n: 13, c:13
Node 16, start at 883, n: 5, c:5
Node 17, start at 875, n: 3, c:3
Node 18, start at 847, n: 5, c:5
Node 19, start at 962, n: 3, c:3
Node 20, start at 228, n: 3, c:3
Node 0, start at 290, n: 13, c:13
Node 1, start at 978, n: 13, c:13
Node 2, start at 467, n: 13, c:13
Node 3, start at 597, n: 13, c:13
Node 4, start at 928, n: 13, c:13
Node 5, start at 268, n: 13, c:13
Node 6, start at 757, n: 13, c:13
Node 7, start at 208, n: 13, c:13
Node 8, start at 635, n: 13, c:13
Node 9, start at 927, n: 13, c:13
Node 10, start at 195, n: 13, c:13
Node 11, start at 960, n: 13, c:13
Node 12, start at 483, n: 13, c:13
Node 13, start at 516, n: 13, c:13
Node 14, start at 243, n: 13, c:13
Node 15, start at 621, n: 13, c:13
Node 16, start at 883, n: 13, c:13
Node 17, start at 875, n: 13, c:13
Node 18, start at 847, n: 13, c:13
Node 19, start at 962, n: 13, c:13
Node 20, start at 228, n: 13, c:13
Node 0, start at 325, n: 3, c:3
Node 1, start at 409, n: 5, c:5
Node 2, start at 547, n: 5, c:5
Node 3, start at 240, n: 5, c:5
Node 4, start at 758, n: 3, c:3
Node 5, start at 977, n: 11, c:11
Node 6, start at 362, n: 3, c:3
Node 7, start at 799, n: 3, c:3
Node 8, start at 111, n: 5, c:5
Node 9, start at 939, n: 5, c:5
Node 10, start at 905, n: 5, c:5
Node 11, start at 727, n: 11, c:11
Node 12, start at 857, n: 5, c:5
Node 13, start at 971, n: 3, c:3
Node 14, start at 181, n: 5, c:5
Node 15, start at 189, n: 3, c:3
Node 16, start at 44, n: 11, c:11
Node 17, start at 457, n: 13, c:13
Node 18, start at 739, n: 5, c:5
Node 19, start at 377, n: 13, c:13
Node 20, start at 925, n: 3, c:3
Node 0, start at 325, n: 13, c:13
Node 1, start at 409, n: 13, c:13
Node 2, start at 547, n: 13, c:13
Node 3, start at 240, n: 13, c:13
Node 4, start at 758, n: 13, c:13
Node 5, start at 977, n: 13, c:13
Node 6, start at 362, n: 13, c:13
Node 7, start at 799, n: 13, c:13
Node 8, start at 111, n: 13, c:13
Node 9, start at 939, n: 13, c:13
Node 10, start at 905, n: 13, c:13
Node 11, start at 727, n: 13, c:13
Node 12, start at 857, n: 13, c:13
Node 13, start at 971, n: 13, c:13
Node 14, start at 181, n: 13, c:13
Node 15, start at 189, n: 13, c:13
Node 16, start at 44, n: 13, c:13
Node 17, start at 457, n: 13, c:13
Node 18, start at 739, n: 13, c:13
Node 19, start at 377, n: 13, c:13
Node 20, start at 925, n: 13, c:13
Node 0, start at 941, n: 3, c:3
Node 1, start at 389, n: 13, c:13
Node 2, start at 15, n: 3, c:3
Node 3, start at 252, n: 3, c:3
Node 4, start at 31, n: 11, c:11
Node 5, start at 768, n: 5, c:5
Node 6, start at 403, n: 3, c:3
Node 7, start at 305, n: 3, c:3
Node 8, start at 349, n: 3, c:3
Node 9, start at 772, n: 3, c:3
Node 10, start at 884, n: 5, c:5
Node 11, start at 544, n: 5, c:5
Node 12, start at 290, n: 7, c:7
Node 13, start at 292, n: 5, c:5
Node 14, start at 580, n: 13, c:13
Node 15, start at 269, n: 11, c:11
Node 16, start at 124, n: 5, c:5
Node 17, start at 889, n: 11, c:11
Node 18, start at 215, n: 7, c:7
Node 19, start at 283, n: 13, c:13
Node 20, start at 365, n: 13, c:13
Node 0, start at 941, n: 13, c:13
Node 1, start at 389, n: 13, c:13
Node 2, start at 15, n: 13, c:13
Node 3, start at 252, n: 13, c:13
Node 4, start at 31, n: 13, c:13
Node 5, start at 768, n: 13, c:13
Node 6, start at 403, n: 13, c:13
Node 7, start at 305, n: 13, c:13
Node 8, start at 349, n: 13, c:13
Node 9, start at 772, n: 13, c:13
Node 10, start at 884, n: 13, c:13
Node 11, start at 544, n: 13, c:13
Node 12, start at 290, n: 13, c:13
Node 13, start at 292, n: 13, c:13
Node 14, start at 580, n: 13, c:13
Node 15, start at 269, n: 13, c:13
Node 16, start at 124, n: 13, c:13
Node 17, start at 889, n: 13, c:13
Node 18, start at 215, n: 13, c:13
Node 19, start at 283, n: 13, c:13
Node 20, start at 365, n: 13, c:13
Node 0, start at 150, n: 3, c:3
Node 1, start at 218, n: 3, c:3
Node 2, start at 121, n: 3, c:3
Node 3, start at 302, n: 7, c:7
Node 4, start at 850, n: 3, c:3
Node 5, start at 522, n: 5, c:5
Node 6, start at 48, n: 13, c:13
Node 7, start at 214, n: 11, c:11
Node 8, start at 736, n: 7, c:7
Node 9, start at 452, n: 11, c:11
Node 10, start at 4, n: 5, c:5
Node 11, start at 942, n: 11, c:11
Node 12, start at 788, n: 5, c:5
Node 13, start at 700, n: 3, c:3
Node 14, start at 172, n: 3, c:3
Node 15, start at 120, n: 5, c:5
Node 16, start at 548, n: 3, c:3
Node 17, start at 160, n: 5, c:5
Node 18, start at 56, n: 7, c:7
Node 19, start at 211, n: 13, c:13
Node 20, start at 61, n: 3, c:3
Node 0, start at 150, n: 13, c:13
Node 1, start at 218, n: 13, c:13
Node 2, start at 121, n: 13, c:13
Node 3, start at 302, n: 13, c:13
Node 4, start at 850, n: 13, c:13
Node 5, start at 522, n: 13, c:13
Node 6, start at 48, n: 13, c:13
Node 7, start at 214, n: 13, c:13
Node 8, start at 736, n: 13, c:13
Node 9, start at 452, n: 13, c:13
Node 10, start at 4, n: 13, c:13
Node 11, start at 942, n: 13, c:13
Node 12, start at 788, n: 13, c:13
Node 13, start at 700, n: 13, c:13
Node 14, start at 172, n: 13, c:13
Node 15, start at 120, n: 13, c:13
Node 16, start at 548, n: 13, c:13
Node 17, start at 160, n: 13, c:13
Node 18, start at 56, n: 13, c:13
Node 19, start at 211, n: 13, c:13
Node 20, start at 61, n: 13, c:13
Node 0, start at 584, n: 3, c:3
Node 1, start at 927, n: 3, c:3
Node 2, start at 246, n: 5, c:5
Node 3, start at 995, n: 3, c:3
Node 4, start at 416, n: 5, c:5
Node 5, start at 890, n: 3, c:3
Node 6, start at 893, n: 5, c:5
Node 7, start at 54, n: 3, c:3
Node 8, start at 656, n: 5, c:5
Node 9, start at 897, n: 11, c:11
Node 10, start at 416, n: 5, c:5
Node 11, start at 600, n: 3, c:3
Node 12, start at 368, n: 7, c:7
Node 13, start at 48, n: 3, c:3
Node 14, start at 838, n: 3, c:3
Node 15, start at 574, n: 7, c:7
Node 16, start at 568, n: 11, c:11
Node 17, start at 140, n: 5, c:5
Node 18, start at 827, n: 13, c:13
Node 19, start at 35, n: 5, c:5
Node 20, start at 841, n: 5, c:5
Node 0, start at 584, n: 5, c:5
Node 1, start at 927, n: 5, c:5
Node 2, start at 246, n: 5, c:5
Node 3, start at 995, n: 5, c:5
Node 4, start at 416, n: 5, c:5
Node 5, start at 890, n: 5, c:5
Node 6, start at 893, n: 5, c:5
Node 7, start at 54, n: 5, c:5
Node 8, start at 656, n: 5, c:5
Node 9, start at 897, n: 5, c:5
Node 10, start at 416, n: 5, c:5
Node 11, start at 600, n: 5, c:5
Node 12, start at 368, n: 5, c:5
Node 13, start at 48, n: 5, c:5
Node 14, start at 838, n: 5, c:5
Node 15, start at 574, n: 5, c:5
Node 16, start at 568, n: 5, c:5
Node 17, start at 140, n: 5, c:5
Node 18, start at 827, n: 5, c:5
Node 19, start at 35, n: 5, c:5
Node 20, start at 841, n: 5, c:5
Node 0, start at 31, n: 3, c:3
