Node 17, start at 745, n: 2, c:11
Node 18, start at 428, n: 2, c:11
Node 19, start at 588, n: 2, c:11
Node 20, start at 64, n: 2, c:11
Node 0, start at 776, n: 2, c:11
Node 1, start at 14, n: 2, c:11
Node 2, start at 776, n: 53, c:11
Node 3, start at 249, n: 2, c:11
Node 4, start at 99, n: 2, c:11
Node 5, start at 509, n: 2, c:11
Node 6, start at 614, n: 5, c:11
Node 7, start at 603, n: 2, c:11
Node 8, start at 339, n: 2, c:11
Node 9, start at 40, n: 2, c:11
Node 10, start at 485, n: 2, c:11
Node 11, start at 876, n: 2, c:11
Node 12, start at 532, n: 2, c:11
Node 13, start at 399, n: 3, c:11
Node 14, start at 775, n: 7, c:11
Node 15, start at 100, n: 5, c:11
Node 16, start at 853, n: 2, c:11
Node 17, start at 342, n: 53, c:11
Node 18, start at 621, n: 3, c:11
Node 19, start at 505, n: 2, c:11
Node 20, start at 662, n: 3, c:11
Node 0, start at 776, n: 2, c:11
Node 1, start at 14, n: 2, c:11
Node 2, start at 776, n: 2, c:11
Node 3, start at 249, n: 2, c:11
Node 4, start at 99, n: 2, c:11
Node 5, start at 509, n: 2, c:11
Node 6, start at 614, n: 2, c:11
Node 7, start at 603, n: 2, c:11
Node 8, start at 339, n: 2, c:11
Node 9, start at 40, n: 2, c:11
Node 10, start at 485, n: 2, c:11
Node 11, start at 876, n: 2, c:11
Node 12, start at 532, n: 2, c:11
Node 13, start at 399, n: 2, c:11
Node 14, start at 775, n: 2, c:11
Node 15, start at 100, n: 2, c:11
Node 16, start at 853, n: 2, c:11
Node 17, start at 342, n: 2, c:11
Node 18, start at 621, n: 2, c:11
Node 19, start at 505, n: 2, c:11
Node 20, start at 662, n: 2, c:11
Node 0, start at 877, n: 2, c:11
Node 1, start at 94, n: 2, c:11
Node 2, start at 359, n: 2, c:11
Node 3, start at 428, n: 2, c:11
Node 4, start at 509, n: 2, c:11
Node 5, start at 949, n: 2, c:11
Node 6, start at 560, n: 2, c:11
Node 7, start at 458, n: 2, c:11
Node 8, start at 476, n: 2, c:11
Node 9, start at 234, n: 2, c:11
Node 10, start at 537, n: 3, c:11
Node 11, start at 232, n: 53, c:11
Node 12, start at 828, n: 3, c:11
Node 13, start at 680, n: 5, c:11
Node 14, start at 327, n: 53, c:11
Node 15, start at 990, n: 3, c:11
Node 16, start at 937, n: 7, c:11
Node 17, start at 11, n: 3, c:11
Node 18, start at 338, n: 7, c:11
Node 19, start at 334, n: 2, c:11
Node 20, start at 1, n: 3, c:11
Node 0, start at 877, n: 2, c:11
Node 1, start at 94, n: 2, c:11
Node 2, start at 359, n: 2, c:11
Node 3, start at 428, n: 2, c:11
Node 4, start at 509, n: 2, c:11
Node 5, start at 949, n: 2, c:11
Node 6, start at 560, n: 2, c:11
Node 7, start at 458, n: 2, c:11
Node 8, start at 476, n: 2, c:11
Node 9, start at 234, n: 2, c:11
Node 10, start at 537, n: 2, c:11
Node 11, start at 232, n: 2, c:11
Node 12, start at 828, n: 2, c:11
Node 13, start at 680, n: 2, c:11
Node 14, start at 327, n: 2, c:11
Node 15, start at 990, n: 2, c:11
Node 16, start at 937, n: 2, c:11
Node 17, start at 11, n: 2, c:11
Node 18, start at 338, n: 2, c:11
Node 19, start at 334, n: 2, c:11
Node 20, start at 1, n: 2, c:11
Node 0, start at 453, n: 2, c:11
Node 1, start at 174, n: 53, c:11
Node 2, start at 553, n: 2, c:11
Node 3, start at 684, n: 53, c:11
Node 4, start at 894, n: 2, c:11
Node 5, start at 99, n: 53, c:11
Node 6, start at 875, n: 2, c:11
Node 7, start at 836, n: 2, c:11
Node 8, start at 40, n: 5, c:11
Node 9, start at 19, n: 2, c:11
Node 10, start at 186, n: 7, c:11
Node 11, start at 821, n: 2, c:11
Node 12, start at 40, n: 3, c:11
Node 13, start at 835, n: 2, c:11
Node 14, start at 282, n: 2, c:11
Node 15, start at 394, n: 2, c:11
Node 16, start at 882, n: 3, c:11
Node 17, start at 281, n: 2, c:11
Node 18, start at 835, n: 7, c:11
Node 19, start at 872, n: 2, c:11
Node 20, start at 213, n: 5, c:11
Node 0, start at 453, n: 2, c:11
Node 1, start at 174, n: 2, c:11
Node 2, start at 553, n: 2, c:11
Node 3, start at 684, n: 2, c:11
Node 4, start at 894, n: 2, c:11
Node 5, start at 99, n: 2, c:11
Node 6, start at 875, n: 2, c:11
Node 7, start at 836, n: 2, c:11
Node 8, start at 40, n: 2, c:11
Node 9, start at 19, n: 2, c:11
Node 10, start at 186, n: 2, c:11
Node 11, start at 821, n: 2, c:11
Node 12, start at 40, n: 2, c:11
